	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	31.8323575299228	4.86510637351799e-05	0.0152274941454715	0.86464974502285	0.999649527748504
2	13.9431614071252	5.68095978792842e-05	0.0152287205907752	0.786825077780962	0.999649527748504
3	386.563751446422	0.000147400582565252	0.01521042921388	0.848998913010122	0.999649527748504
4	1.48808301562362	-2.09708660741185e-05	0.0152300163760366	0.758901362366377	0.999649527748504
5	0	0	0.0152301696427168	NA	NA
6	13.4956840197458	-2.30652718805774e-05	0.0152287730471256	0.910948535228991	0.999649527748504
7	0.245203111524701	-1.34101929109841e-05	0.0152300988706342	0.772713055332449	0.999649527748504
8	116.518190157633	-0.000175660382101046	0.0152222209042661	0.720924049003001	0.999649527748504
9	56.7331726299431	-8.58784999834346e-05	0.0152251374279572	0.826306880859206	0.999649527748504
10	0.743493687017152	1.13838396028418e-05	0.015230082941978	0.824687506678305	0.999649527748504
11	0	0	0.0152301696427168	NA	NA
12	116.941494054809	-0.000229606781639414	0.0152236383304079	0.606517604672519	0.999649527748504
13	7.46684125626314	8.37965458300673e-05	0.0152293472125168	0.596481832952525	0.999649527748504
14	56.8160933444133	-0.000356301935108919	0.0152254245220961	0.348473601118799	0.999649527748504
15	3.49573753641497	2.10909563912551e-05	0.0152297556653095	0.851013178285666	0.999649527748504
16	0	0	0.0152301696427168	NA	NA
17	1324.86757435269	0.000570515851526134	0.0152035416011868	0.525517196373016	0.999649527748504
18	0	0	0.0152301696427168	NA	NA
19	2957.31113780902	-3.17330218796174e-05	0.0151949966875496	0.975471765361386	0.999649527748504
20	9.05087458726971	-0.000101476903534248	0.0152292568396239	0.542778570478149	0.999649527748504
21	1.47138250520214	1.79273882960396e-05	0.0152300266510493	0.785896114366993	0.999649527748504
22	0	0	0.0152301696427168	NA	NA
23	6.69215484000295	0.00016056907429563	0.0152294893954547	0.264618829788792	0.999649527748504
24	0.490406223049403	-2.34620012685201e-05	0.0152300959082849	0.620551888359177	0.999649527748504
25	0	0	0.0152301696427168	NA	NA
26	0	0	0.0152301696427168	NA	NA
27	0.255843576362342	1.35931986099911e-05	0.0152300987831218	0.769836584035263	0.999649527748504
28	1.025565588628	-3.45206700282431e-05	0.0152300941671705	0.471546523183085	0.999649527748504
29	0	0	0.0152301696427168	NA	NA
30	0.242446999130109	1.32143561350496e-05	0.0152300988611396	0.775957566226475	0.999649527748504
31	1.51212005769349	-2.05734838380905e-07	0.0152299673186443	0.997908954569362	0.999649527748504
32	14.3217654617563	-8.86205826037802e-06	0.0152287916608737	0.965493634429666	0.999649527748504
33	3.2264973828204	8.26831990433447e-06	0.0152298179568657	0.936325830369568	0.999649527748504
34	0	0	0.0152301696427168	NA	NA
35	1.02337430544937	3.43942611633646e-05	0.0152300941604173	0.47319113143125	0.999649527748504
36	7.21026901463091	-7.24170468144723e-05	0.0152294160843128	0.632639279034612	0.999649527748504
37	1036.68179258041	-0.000715327544165152	0.0151991647571036	0.460543040898714	0.999649527748504
38	368.598875710859	-0.000394119636083845	0.0152242190321163	0.354356120125361	0.999649527748504
39	766.762745845451	2.00967212189602e-05	0.0152043178657742	0.981893371451625	0.999649527748504
40	468.173398841648	0.000639822101550133	0.0152104651847742	0.40812170622712	0.999649527748504
41	55.1783537123615	8.64232223106108e-05	0.0152260827280405	0.806436813652367	0.999649527748504
42	13.7792695645293	-4.3867033289889e-05	0.0152288576836136	0.826290894159242	0.999649527748504
43	667.321045624722	0.000880534421571832	0.0152045765634884	0.317610664495622	0.999649527748504
44	1230.03253124924	-2.87059516516654e-05	0.0151978614587641	0.976853776425905	0.999649527748504
45	581.337930032167	-0.000489163397454117	0.0152052401722	0.573778245999678	0.999649527748504
46	824.158020800866	-0.000302138992023923	0.0152165382672555	0.638774047810508	0.999649527748504
47	14.6176296463924	0.000315310712013055	0.01522927147545	0.056592221878253	0.999649527748504
48	23.1936104704879	-0.000168584115065562	0.0152280170344807	0.510228840648181	0.999649527748504
49	672.201498243153	-0.000114922920122148	0.0152048742028869	0.895620287766812	0.999649527748504
50	2.22920457498691	-9.17481020029882e-05	0.0152300179368832	0.177115483960253	0.999649527748504
51	401.659606938625	8.13558421922118e-05	0.0152108574550767	0.91539070450217	0.999649527748504
52	1281.61463503081	0.00048709153532173	0.0151984325594011	0.619402352462814	0.999649527748504
53	111.838125509524	0.000229747755806072	0.0152218411632708	0.648062810031812	0.999649527748504
54	2794.61935848689	-9.29892999423917e-05	0.0152028743696505	0.918589578526677	0.999649527748504
55	136.462034358236	-0.000248805741237834	0.0152198891644611	0.656325003887819	0.999649527748504
56	613.15478947875	-0.000213592497672323	0.0152079290193223	0.794879902628575	0.999649527748504
57	28.3433280164569	0.000154443939654273	0.0152275390070911	0.58526096315096	0.999649527748504
58	435.738951752176	-0.000289166891998896	0.015215187780809	0.668228430644554	0.999649527748504
59	4.45141729885459	-3.31580101606737e-07	0.0152296865743645	0.997818910241431	0.999649527748504
60	3.5091341136472	2.18276926181354e-05	0.0152297504223307	0.846827738980334	0.999649527748504
61	748.890266870448	-0.00017008757869329	0.0152065283095653	0.840837315812081	0.999649527748504
62	0.484893998260218	2.32121380297854e-05	0.0152300959223243	0.624245256946061	0.999649527748504
63	1402.17189389449	4.26212611430602e-07	0.0152283694709838	0.998547534084486	0.999649527748504
64	32.8834416809079	9.63448704908885e-05	0.0152283831546118	0.679554498208539	0.999649527748504
65	0.484893998260218	2.32121380297854e-05	0.0152300959223243	0.624245256946061	0.999649527748504
66	811.916869219994	-0.000396712812434884	0.0152068764242502	0.637017579229942	0.999649527748504
67	66.0717655170261	6.75086244334981e-05	0.0152244093485606	0.8719037559914	0.999649527748504
68	203.715617663526	6.07387987120373e-05	0.0152194134097884	0.915418290036354	0.999649527748504
69	73.2818047413993	0.000127923621436365	0.0152257323123078	0.727779135439889	0.999649527748504
70	7.47730087662555	-6.41784295687318e-05	0.0152293625376151	0.682289296530196	0.999649527748504
71	113.488285702455	0.000151618902270461	0.0152235645484193	0.735207578910031	0.999649527748504
72	35.5038061635099	0.000207363618578333	0.0152275625513899	0.461728436163867	0.999649527748504
