Geneid	./mouse_cns_E18_rep2.Aligned.sortedByCoord.out.bam	./mouse_cns_E14_rep1.Aligned.sortedByCoord.out.bam	./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam	./mouse_cns_E14_rep2.Aligned.sortedByCoord.out.bam
ENSMUSG00000040274	60	105	65	143
ENSMUSG00000040302	149	141	149	119
ENSMUSG00000040340	2	2	2	0
ENSMUSG00000040351	1031	894	1100	747
ENSMUSG00000040367	15	17	20	12
ENSMUSG00000040407	530	585	574	570
ENSMUSG00000040429	83	78	120	98
ENSMUSG00000041624	211	171	222	184
ENSMUSG00000041935	3657	4097	3523	4416
ENSMUSG00000042198	218	245	244	259
ENSMUSG00000042228	54	78	98	63
ENSMUSG00000042360	0	0	0	0
ENSMUSG00000044156	29	28	19	30
ENSMUSG00000044433	722	799	749	659
ENSMUSG00000044988	2	0	6	0
ENSMUSG00000045098	1177	1294	1252	1247
ENSMUSG00000046201	733	939	743	983
ENSMUSG00000047205	108	126	128	148
ENSMUSG00000047264	627	915	776	929
ENSMUSG00000047735	106	67	64	40
ENSMUSG00000048807	77	44	79	58
ENSMUSG00000049721	28	9	30	6
ENSMUSG00000049871	87	69	78	53
ENSMUSG00000049950	88	114	112	121
ENSMUSG00000050530	1504	2002	1544	1507
ENSMUSG00000051003	0	0	0	0
ENSMUSG00000051396	700	1086	743	1069
ENSMUSG00000051951	579	546	584	491
ENSMUSG00000053211	2	2	2	0
ENSMUSG00000053338	0	0	2	0
ENSMUSG00000053395	86	40	99	69
ENSMUSG00000054594	20	8	13	21
ENSMUSG00000054753	0	0	0	0
ENSMUSG00000054939	310	229	359	207
ENSMUSG00000054986	4	0	16	0
ENSMUSG00000055452	212	276	250	272
ENSMUSG00000055541	34	18	14	22
ENSMUSG00000055737	387	697	465	382
ENSMUSG00000056673	1491	1751	1561	1750
ENSMUSG00000058503	267	320	341	345
ENSMUSG00000058818	6	6	2	8
ENSMUSG00000059043	0	2	0	0
ENSMUSG00000059734	792	597	685	606
ENSMUSG00000061971	1	0	0	0
ENSMUSG00000063130	2	10	0	0
ENSMUSG00000063889	929	984	1045	954
ENSMUSG00000064065	1695	628	1773	1027
ENSMUSG00000064373	2835	2302	2967	1978
ENSMUSG00000065952	2	2	0	2
ENSMUSG00000065987	0	0	0	0
ENSMUSG00000068240	3599	4674	4000	4710
ENSMUSG00000068457	549	714	611	651
ENSMUSG00000068566	519	667	648	439
ENSMUSG00000069044	0	0	0	0
ENSMUSG00000069045	1079	1351	1333	1106
ENSMUSG00000069049	2318	1831	2168	1995
ENSMUSG00000069053	28	2	17	3
ENSMUSG00000069633	53	56	25	58
ENSMUSG00000069806	756	1027	940	990
ENSMUSG00000071019	0	2	0	0
ENSMUSG00000071454	335	460	365	375
ENSMUSG00000071456	31	49	26	72
ENSMUSG00000071613	93	41	88	29
ENSMUSG00000074417	0	0	0	0
