Geneid	./mouse_cns_E14_rep2.Aligned.sortedByCoord.out.bam
ENSMUSG00000034587	40
ENSMUSG00000053263	11
ENSMUSG00000056579	343
ENSMUSG00000069181	2
ENSMUSG00000084962	0
ENSMUSG00000085039	16
ENSMUSG00000086032	0
ENSMUSG00000086566	96
ENSMUSG00000087221	64
ENSMUSG00000087291	0
ENSMUSG00000087580	0
ENSMUSG00000087687	166
ENSMUSG00000087697	5
ENSMUSG00000091488	78
ENSMUSG00000091559	4
ENSMUSG00000091607	0
ENSMUSG00000023795	1068
ENSMUSG00000073242	0
ENSMUSG00000082286	2709
ENSMUSG00000084941	16
ENSMUSG00000085043	1
ENSMUSG00000085048	0
ENSMUSG00000085180	2
ENSMUSG00000085205	0
ENSMUSG00000085394	0
ENSMUSG00000085656	0
ENSMUSG00000086049	0
ENSMUSG00000086065	4
ENSMUSG00000086445	0
ENSMUSG00000087055	0
ENSMUSG00000087111	2
ENSMUSG00000089665	15
ENSMUSG00000089699	4
ENSMUSG00000089956	0
ENSMUSG00000091849	0
ENSMUSG00000092286	8
ENSMUSG00000000600	1087
ENSMUSG00000000766	297
ENSMUSG00000001376	796
ENSMUSG00000001750	418
ENSMUSG00000003282	50
ENSMUSG00000003585	12
ENSMUSG00000004565	556
ENSMUSG00000004567	1230
ENSMUSG00000004568	609
ENSMUSG00000004626	693
ENSMUSG00000004630	1
ENSMUSG00000004748	20
ENSMUSG00000005534	616
ENSMUSG00000005540	2
ENSMUSG00000005907	348
ENSMUSG00000005982	1239
ENSMUSG00000005983	97
ENSMUSG00000006333	3047
ENSMUSG00000006335	132
ENSMUSG00000007415	546
ENSMUSG00000008307	20
ENSMUSG00000008373	545
ENSMUSG00000012705	2
ENSMUSG00000013974	4
ENSMUSG00000014232	723
ENSMUSG00000014529	0
ENSMUSG00000015202	2136
ENSMUSG00000017688	34
ENSMUSG00000019368	0
ENSMUSG00000019470	880
ENSMUSG00000019734	56
ENSMUSG00000020430	226
ENSMUSG00000020432	91
ENSMUSG00000020434	9
ENSMUSG00000020435	73
ENSMUSG00000020439	32
ENSMUSG00000020448	202
ENSMUSG00000020451	544
ENSMUSG00000020453	337
ENSMUSG00000020454	453
ENSMUSG00000020457	256
ENSMUSG00000020658	900
ENSMUSG00000020660	18
ENSMUSG00000020661	1197
ENSMUSG00000020668	1563
ENSMUSG00000020671	1770
ENSMUSG00000021215	263
ENSMUSG00000021216	0
ENSMUSG00000021218	3410
ENSMUSG00000022184	271
ENSMUSG00000022186	266
ENSMUSG00000022529	600
ENSMUSG00000022534	0
ENSMUSG00000023764	471
ENSMUSG00000023800	1015
ENSMUSG00000023802	0
ENSMUSG00000023964	117
ENSMUSG00000024231	4169
ENSMUSG00000024232	773
ENSMUSG00000024829	217
ENSMUSG00000024831	208
ENSMUSG00000024843	951
ENSMUSG00000024866	10
ENSMUSG00000024885	29
ENSMUSG00000024900	398
ENSMUSG00000024905	6
ENSMUSG00000024907	24
ENSMUSG00000024908	1879
ENSMUSG00000024913	217
ENSMUSG00000025898	289
ENSMUSG00000025899	859
ENSMUSG00000026643	1483
ENSMUSG00000026644	2
ENSMUSG00000026645	2
ENSMUSG00000026646	326
ENSMUSG00000026648	505
ENSMUSG00000026650	8
ENSMUSG00000026655	1320
ENSMUSG00000026657	34
ENSMUSG00000028232	366
ENSMUSG00000028233	559
ENSMUSG00000028234	2021
ENSMUSG00000028236	0
ENSMUSG00000029663	0
ENSMUSG00000029664	4
ENSMUSG00000030427	0
ENSMUSG00000031494	0
ENSMUSG00000031495	0
ENSMUSG00000032766	87
ENSMUSG00000033765	0
ENSMUSG00000033781	534
ENSMUSG00000033799	1635
ENSMUSG00000034493	0
ENSMUSG00000034543	437
ENSMUSG00000034570	16
ENSMUSG00000034579	7
ENSMUSG00000034614	70
ENSMUSG00000035372	292
ENSMUSG00000035585	724
ENSMUSG00000035596	604
ENSMUSG00000035632	451
ENSMUSG00000035674	304
ENSMUSG00000036908	143
ENSMUSG00000036983	84
ENSMUSG00000037263	0
ENSMUSG00000037477	0
ENSMUSG00000037486	404
ENSMUSG00000039496	10
ENSMUSG00000039738	1527
ENSMUSG00000039789	303
ENSMUSG00000040165	6
ENSMUSG00000040197	0
ENSMUSG00000040236	599
ENSMUSG00000040274	143
ENSMUSG00000040302	119
ENSMUSG00000040340	0
ENSMUSG00000040351	747
ENSMUSG00000040367	12
ENSMUSG00000040407	570
ENSMUSG00000040429	98
ENSMUSG00000041624	184
ENSMUSG00000041935	4416
ENSMUSG00000042198	259
ENSMUSG00000042228	63
ENSMUSG00000042360	0
ENSMUSG00000044156	30
ENSMUSG00000044433	659
ENSMUSG00000044988	0
ENSMUSG00000045098	1247
ENSMUSG00000046201	983
