Geneid	./mouse_cns_E14_rep1.Aligned.sortedByCoord.out.bam
ENSMUSG00000034587	35
ENSMUSG00000053263	18
ENSMUSG00000056579	393
ENSMUSG00000069181	2
ENSMUSG00000084962	0
ENSMUSG00000085039	15
ENSMUSG00000086032	0
ENSMUSG00000086566	105
ENSMUSG00000087221	60
ENSMUSG00000087291	1
ENSMUSG00000087580	0
ENSMUSG00000087687	108
ENSMUSG00000087697	11
ENSMUSG00000091488	52
ENSMUSG00000091559	5
ENSMUSG00000091607	0
ENSMUSG00000023795	1419
ENSMUSG00000073242	0
ENSMUSG00000082286	2944
ENSMUSG00000084941	7
ENSMUSG00000085043	4
ENSMUSG00000085048	0
ENSMUSG00000085180	13
ENSMUSG00000085205	0
ENSMUSG00000085394	0
ENSMUSG00000085656	0
ENSMUSG00000086049	0
ENSMUSG00000086065	0
ENSMUSG00000086445	0
ENSMUSG00000087055	1
ENSMUSG00000087111	1
ENSMUSG00000089665	9
ENSMUSG00000089699	6
ENSMUSG00000089956	0
ENSMUSG00000091849	0
ENSMUSG00000092286	8
ENSMUSG00000000600	980
ENSMUSG00000000766	156
ENSMUSG00000001376	753
ENSMUSG00000001750	589
ENSMUSG00000003282	80
ENSMUSG00000003585	8
ENSMUSG00000004565	737
ENSMUSG00000004567	1295
ENSMUSG00000004568	548
ENSMUSG00000004626	598
ENSMUSG00000004630	11
ENSMUSG00000004748	17
ENSMUSG00000005534	688
ENSMUSG00000005540	0
ENSMUSG00000005907	425
ENSMUSG00000005982	1430
ENSMUSG00000005983	105
ENSMUSG00000006333	3146
ENSMUSG00000006335	140
ENSMUSG00000007415	592
ENSMUSG00000008307	40
ENSMUSG00000008373	437
ENSMUSG00000012705	6
ENSMUSG00000013974	4
ENSMUSG00000014232	671
ENSMUSG00000014529	2
ENSMUSG00000015202	2006
ENSMUSG00000017688	12
ENSMUSG00000019368	2
ENSMUSG00000019470	892
ENSMUSG00000019734	74
ENSMUSG00000020430	249
ENSMUSG00000020432	95
ENSMUSG00000020434	8
ENSMUSG00000020435	109
ENSMUSG00000020439	63
ENSMUSG00000020448	218
ENSMUSG00000020451	633
ENSMUSG00000020453	325
ENSMUSG00000020454	427
ENSMUSG00000020457	269
ENSMUSG00000020658	992
ENSMUSG00000020660	61
ENSMUSG00000020661	1337
ENSMUSG00000020668	1341
ENSMUSG00000020671	1654
ENSMUSG00000021215	632
ENSMUSG00000021216	0
ENSMUSG00000021218	3497
ENSMUSG00000022184	273
ENSMUSG00000022186	232
ENSMUSG00000022529	729
ENSMUSG00000022534	2
ENSMUSG00000023764	398
ENSMUSG00000023800	676
ENSMUSG00000023802	2
ENSMUSG00000023964	136
ENSMUSG00000024231	3939
ENSMUSG00000024232	1016
ENSMUSG00000024829	230
ENSMUSG00000024831	246
ENSMUSG00000024843	961
ENSMUSG00000024866	14
ENSMUSG00000024885	16
ENSMUSG00000024900	401
ENSMUSG00000024905	4
ENSMUSG00000024907	45
ENSMUSG00000024908	1810
ENSMUSG00000024913	312
ENSMUSG00000025898	436
ENSMUSG00000025899	866
ENSMUSG00000026643	1486
ENSMUSG00000026644	10
ENSMUSG00000026645	0
ENSMUSG00000026646	236
ENSMUSG00000026648	517
ENSMUSG00000026650	7
ENSMUSG00000026655	1097
ENSMUSG00000026657	46
ENSMUSG00000028232	363
ENSMUSG00000028233	544
ENSMUSG00000028234	2165
ENSMUSG00000028236	0
ENSMUSG00000029663	2
ENSMUSG00000029664	14
ENSMUSG00000030427	0
ENSMUSG00000031494	0
ENSMUSG00000031495	0
ENSMUSG00000032766	122
ENSMUSG00000033765	0
ENSMUSG00000033781	535
ENSMUSG00000033799	1550
ENSMUSG00000034493	0
ENSMUSG00000034543	429
ENSMUSG00000034570	18
ENSMUSG00000034579	8
ENSMUSG00000034614	75
ENSMUSG00000035372	356
ENSMUSG00000035585	649
ENSMUSG00000035596	586
ENSMUSG00000035632	583
ENSMUSG00000035674	286
ENSMUSG00000036908	144
ENSMUSG00000036983	102
ENSMUSG00000037263	0
ENSMUSG00000037477	3
ENSMUSG00000037486	369
ENSMUSG00000039496	14
ENSMUSG00000039738	1733
ENSMUSG00000039789	275
ENSMUSG00000040165	2
ENSMUSG00000040197	0
ENSMUSG00000040236	612
ENSMUSG00000040274	105
ENSMUSG00000040302	141
ENSMUSG00000040340	2
ENSMUSG00000040351	894
ENSMUSG00000040367	17
ENSMUSG00000040407	585
ENSMUSG00000040429	78
ENSMUSG00000041624	171
ENSMUSG00000041935	4097
ENSMUSG00000042198	245
ENSMUSG00000042228	78
ENSMUSG00000042360	0
ENSMUSG00000044156	28
ENSMUSG00000044433	799
ENSMUSG00000044988	0
ENSMUSG00000045098	1294
